日付,部位,種目,セット,重量kg,回数,RIR
2026-06-02,脚,バーベルスクワット,1,85,6,
2026-06-02,脚,バーベルスクワット,2,85,4,
2026-06-02,脚,バーベルスクワット,3,80,4,
2026-06-02,背中,ベントオーバーロー,1,60,10,
2026-06-02,背中,ベントオーバーロー,2,60,8,
2026-06-02,背中,ベントオーバーロー,3,60,8,
2026-06-02,背中,ベントオーバーロー,4,50,10,
2026-06-02,背中,Tバーロー,1,60,7,
2026-06-02,背中,Tバーロー,2,50,9,
2026-06-02,背中,Tバーロー,3,50,7,
2026-06-02,背中,Tバーロー,4,50,7,
2026-06-02,背中,プレートローディットプルダウン,1,35,12,
2026-06-02,背中,プレートローディットプルダウン,2,35,9,
2026-06-02,背中,プレートローディットプルダウン,3,35,9,
2026-06-02,背中,プレートローディットプルダウン,4,30,10,
2026-06-02,背中,荷重チンニング,1,70,8,
2026-06-02,背中,荷重チンニング,2,70,6,
2026-06-02,背中,荷重チンニング,3,70,4,
2026-06-02,背中,荷重チンニング,4,60,8,
2026-06-08,腕,ケーブルトライセプスエクステンション,1,40,8,
2026-06-08,腕,ケーブルトライセプスエクステンション,2,40,6,
2026-06-08,腕,ケーブルトライセプスエクステンション,3,35,9,
2026-06-08,腕,ケーブルトライセプスエクステンション,4,35,8,
2026-06-08,腕,オーバーヘッドエクステンション,1,25,11,
2026-06-08,腕,オーバーヘッドエクステンション,2,25,8,
2026-06-08,腕,オーバーヘッドエクステンション,3,25,4,
2026-06-08,腕,オーバーヘッドエクステンション,4,20,7,
2026-06-08,胸,足座るところ4.5見えるシート5ペックフライ,1,40,9,
2026-06-08,胸,足座るところ4.5見えるシート5ペックフライ,2,40,6,
2026-06-08,胸,足座るところ4.5見えるシート5ペックフライ,3,35,9,
2026-06-08,胸,足座るところ4.5見えるシート5ペックフライ,4,35,7,
2026-06-08,胸,インクラインダンベルプレス,1,26,7,
2026-06-08,胸,インクラインダンベルプレス,2,26,5,
2026-06-08,胸,インクラインダンベルプレス,3,20,7,
2026-06-08,胸,インクラインダンベルプレス,4,26,6,
2026-06-08,胸,ベンチプレス,1,80,10,
2026-06-08,胸,ベンチプレス,2,80,5,
2026-06-08,胸,ベンチプレス,3,80,5,
2026-06-08,胸,ベンチプレス,4,75,10,
2026-06-09,脚,バーベルスクワット,1,87.5,6,
2026-06-09,脚,バーベルスクワット,2,90,3,
